Ensembl_ID,SRR7052564,SRR7052565,SRR7052566,SRR7052567,SRR7052568,SRR7052569
ENSG00000232976,0,0,0,0,0,0
ENSG00000232977,1,0,0,0,0,0
ENSG00000232978,0,0,0,0,0,0
ENSG00000232979,0,0,0,0,0,0
ENSG00000187045,4,14,32,25,8,5
ENSG00000205396,1,1,0,0,1,0
ENSG00000070540,430,340,383,663,312,286
ENSG00000187048,0,0,0,0,0,0
ENSG00000187049,152,175,170,145,141,100
ENSG00000240922,3,1,0,6,3,0
ENSG00000134709,1634,1478,1617,991,1362,922
ENSG00000240924,0,0,0,0,0,0
ENSG00000213341,647,755,686,386,509,597
ENSG00000240925,0,0,0,0,0,1
ENSG00000213343,4,2,0,0,0,0
ENSG00000240927,0,0,0,0,0,0
ENSG00000213344,1,0,1,0,0,0
ENSG00000054965,1023,885,978,888,895,646
ENSG00000209082,194,91,191,199,84,123
ENSG00000240929,0,0,0,0,0,0
ENSG00000054967,239,280,369,248,232,200
ENSG00000213347,262,249,294,315,236,160
ENSG00000090273,1629,1775,2175,1820,1465,969
ENSG00000256390,0,0,0,0,0,0
ENSG00000154438,0,0,0,0,0,0
ENSG00000256391,1,0,0,0,0,0
ENSG00000256393,0,0,0,0,1,0
ENSG00000197483,198,174,149,226,106,121
ENSG00000256394,0,0,0,0,1,0
ENSG00000117560,0,0,0,0,0,0
ENSG00000217030,1,1,0,0,0,0
ENSG00000197487,0,0,0,0,0,0
ENSG00000256399,0,0,0,0,0,0
ENSG00000158122,72,78,41,107,84,61
ENSG00000223780,0,0,0,0,0,0
ENSG00000264340,2,1,0,0,0,3
ENSG00000164871,0,0,0,0,0,0
ENSG00000223781,0,0,0,0,0,0
ENSG00000158125,1226,1594,618,923,1042,951
ENSG00000264341,0,0,0,0,0,0
ENSG00000223782,0,0,0,0,0,0
ENSG00000264342,0,0,0,0,0,0
ENSG00000223783,0,3,0,2,2,1
ENSG00000117569,529,411,409,475,356,478
ENSG00000223784,2,0,0,12,4,3
ENSG00000264344,0,0,0,0,0,0
ENSG00000264345,0,0,0,0,0,0
ENSG00000223786,0,0,0,0,0,0
ENSG00000264346,0,0,0,0,0,0
ENSG00000125510,0,0,1,0,0,0
ENSG00000164877,2886,3121,2751,2916,2897,2298
ENSG00000223787,1,1,0,0,0,0
ENSG00000264347,0,0,0,0,0,0
ENSG00000223788,0,0,0,0,0,0
ENSG00000164879,71,65,60,139,76,91
ENSG00000264349,3,2,2,2,4,3
ENSG00000125514,0,0,0,0,0,0
ENSG00000231731,1,0,0,1,1,1
ENSG00000120262,441,785,879,180,421,203
ENSG00000231733,0,0,0,0,0,0
ENSG00000204150,17,0,10,5,8,0
ENSG00000231734,0,0,0,0,0,0
ENSG00000172824,90,94,106,112,144,74
ENSG00000120265,1323,1324,1421,1353,1216,1134
ENSG00000231735,1,0,1,0,0,0
ENSG00000145241,362,291,296,341,265,251
ENSG00000204152,0,1,0,0,0,0
ENSG00000145242,0,0,0,0,0,0
ENSG00000231737,0,0,0,0,0,0
ENSG00000231738,0,0,0,0,0,0
ENSG00000145244,1,1,0,2,0,0
ENSG00000172828,595,774,989,147,439,296
ENSG00000231739,0,0,3,0,1,1
ENSG00000145246,28,44,80,52,21,15
ENSG00000145247,1651,2404,2419,1161,2164,854
ENSG00000145248,0,0,1,1,0,3
ENSG00000188290,121,135,177,367,59,94
ENSG00000135951,140,108,157,65,79,75
ENSG00000188293,15,8,4,7,3,15
ENSG00000081087,167,250,195,147,178,149
ENSG00000135953,966,1112,945,981,925,778
ENSG00000188295,69,95,95,70,50,49
ENSG00000108370,13,15,21,10,4,3
ENSG00000135956,1808,1706,1426,1672,1416,1437
ENSG00000001167,643,732,755,647,675,536
ENSG00000108375,7161,9267,7780,2459,7448,5972
ENSG00000255150,7,1,3,13,5,20
ENSG00000196240,0,0,0,0,0,0
ENSG00000255151,0,0,0,0,0,0
